ID,DAPC,SNPs,INDELs,msh6.SNPs
E459,Cluster5,59495,6745,66
E469,Cluster4,46367,5416,65
E472,Cluster4,46632,5510,65
E470,Cluster4,46393,5579,65
E467,Cluster4,46568,5603,65
E468,Cluster4,46656,5638,65
C84,Cluster5,57672,5694,67
C103,Cluster3,69333,7207,65
C179,Cluster4,62925,6149,64
C185,Cluster5,64920,6155,65
C171,Cluster5,62271,6408,65
C102,Cluster4,68137,6580,65
E33,Cluster1,17702,7277,0
C112,Cluster4,59872,5880,66
C113,Cluster4,36058,5902,66
C114,Cluster4,60071,5920,66
C117,Cluster4,59986,5927,66
C253,Cluster5,49270,6079,66
C372,Cluster5,56032,6630,62
C106,Cluster5,60597,6661,66
C108,Cluster5,60697,6733,66
C122,Cluster5,61300,6806,66
C145,Cluster3,69590,7359,65
C124,Cluster3,78471,8700,62
E455,Cluster4,37790,4647,61
E458,Cluster4,38176,4774,61
E495,Cluster4,38142,4816,61
E497,Cluster4,38338,4841,61
E456,Cluster4,38076,4870,61
C351,Cluster4,49997,5715,69
C352,Cluster4,50484,5721,69
C353,Cluster4,50388,5755,69
C317,Cluster4,12373,5800,69
C127,Cluster4,47676,5332,62
C418,Cluster4,52157,5556,65
C261,Cluster4,47211,5686,65
C120,Cluster4,55148,6015,66
C513,Cluster1,52,13,0
E556,Cluster1,62,56,0
C401,Cluster1,45,75,0
E305,Cluster1,313,1053,14
C364,Cluster1,6402,1192,0
C363,Cluster1,3515,1577,0
C333,Cluster1,14004,1888,1
C314,Cluster1,10889,1895,0
C47,Cluster1,16778,2122,0
E283,Cluster1,4568,2373,34
C370,Cluster1,4973,2421,19
E326,Cluster1,9525,2594,28
E215,Cluster1,24372,3351,61
C312,Cluster4,26003,3423,62
C304,Cluster4,20562,3725,59
C369,Cluster4,19903,3798,46
C484,Cluster4,29892,3903,61
E427,Cluster1,31402,3907,3
E594,Cluster1,39199,3977,37
C303,Cluster4,22153,4067,52
E401,Cluster1,7996,4069,14
E348,Cluster4,16131,4095,51
C30,Cluster4,37529,4106,64
E187,Cluster1,33847,4122,3
E551,Cluster5,21355,4276,56
E119,Cluster1,44598,4292,3
C505,Cluster1,35405,4312,3
C446,Cluster1,35637,4328,3
C329,Cluster1,16298,4397,0
C270,Cluster4,37687,4524,67
E292,Cluster3,36001,4582,57
C474,Cluster4,40395,4587,61
C265,Cluster4,40982,4621,61
C566,Cluster4,40660,4649,61
C275,Cluster4,42723,4662,61
E531,Cluster3,34872,4683,63
E593,Cluster4,43471,4684,61
C487,Cluster4,38069,4789,62
E109,Cluster4,45638,4789,64
E570,Cluster4,47069,4804,61
E454,Cluster4,38243,4816,61
C559,Cluster4,4935,4821,3
C16,Cluster4,44352,4834,65
C411,Cluster4,39921,4853,64
