Site,Lat,Lon
Africa,-8.783195,34.508522
Asia,34.047863,100.619652
Australia,-31.253218,146.921099
Belgium,51.000061,3.32499
Brazil,-23.55052,-46.633309
China,31.23039,121.473702
Colombia,6.25064,-75.57036
Cuba,23.03034,-81.532215
Denmark,56.162937,10.203921
Ecuador,-0.383106,-90.423334
Europe,54.525963,15.255119
France,48.856613,2.352222
Germany,53.551086,9.993682
Hungary,47.497913,19.040236
Iceland,64.054472,-21.306472
India,28.690637,77.20994
Italy,43.722839,10.401689
Japan,36.594682,136.625573
Mauritius,-20.348404,57.552152
Mexico,19.432608,-99.133208
Netherlands,52.132633,5.291266
New Zealand,-38.1088427,176.2214061
North America,54.525963,-105.255119
Oceania,-22.73591,140.018768
Portugal,38.591052,-9.040525
Republic of Ireland,53.349804,-6.26031
Russia,54.77346,56.03475
South Africa,30.200678,30.78384
South America,0.074447,0.00001
Sri Lanka,6.886177,79.92782
Taiwan ,25.044416,121.523606
Tanzania,2.522382,32.15589
Thailand,12.601831,102.091747
Tunisia,36.85292,10.321724
UK,53.800755,-1.549077
USA,41.603221,-73.087749
Ukraine,50.4501,30.5234
Vietnam,10.823099,106.629664
Zambia,-15.387526,28.322817
Zimbabwe,-17.825166,31.03351
