Site,Ind,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5
Africa,Africa01,0.075896,0.00001,0.00001,0.712396,0.211688
Africa,Africa02,0.740527,0.00001,0.259443,0.00001,0.00001
Asia,Asia03,0.00001,0.00001,0.00001,0.00001,0.99996
Asia,Asia02,0.030772,0.00001,0.002115,0.967094,0.00001
Asia,Asia01,0.032204,0.00001,0.000641,0.967135,0.00001
Asia,Asia04,0.637021,0.00001,0.00001,0.362949,0.00001
Australia,Australia13,0.00001,0.00001,0.00001,0.00001,0.99996
Australia,Australia21,0.00001,0.00001,0.00001,0.00001,0.99996
Australia,Australia05,0.00001,0.00001,0.00001,0.99996,0.00001
Australia,Australia01,0.00001,0.99996,0.00001,0.00001,0.00001
Australia,Australia04,0.00001,0.99996,0.00001,0.00001,0.00001
Australia,Australia08,0.00001,0.99996,0.00001,0.00001,0.00001
Australia,Australia09,0.00001,0.99996,0.00001,0.00001,0.00001
Australia,Australia06,0.000014,0.994398,0.00001,0.005568,0.00001
Australia,Australia14,0.039592,0.024387,0.00001,0.92698,0.009031
Australia,Australia07,0.100795,0.672809,0.000013,0.226373,0.00001
Australia,Australia10,0.172683,0.009085,0.00001,0.818212,0.00001
Australia,Australia19,0.336061,0.663909,0.00001,0.00001,0.00001
Australia,Australia17,0.336189,0.663781,0.00001,0.00001,0.00001
Australia,Australia02,0.469429,0.530534,0.000017,0.00001,0.00001
Australia,Australia11,0.552198,0.00001,0.00001,0.00001,0.447772
Australia,Australia03,0.654953,0.34495,0.00001,0.000078,0.00001
Australia,Australia16,0.668569,0.00001,0.301888,0.00001,0.029523
Australia,Australia18,0.715051,0.284919,0.00001,0.00001,0.00001
Australia,Australia20,0.718905,0.281065,0.00001,0.00001,0.00001
Australia,Australia15,0.721383,0.278587,0.00001,0.00001,0.00001
Australia,Australia12,0.72228,0.27769,0.00001,0.00001,0.00001
Australia,Australia22,0.781152,0.218818,0.00001,0.00001,0.00001
Belgium,Belgium01,0.00001,0.00001,0.00001,0.011867,0.988103
Belgium,Belgium02,0.042595,0.00001,0.957375,0.00001,0.00001
Belgium,Belgium03,0.138923,0.00001,0.00001,0.861047,0.00001
Belgium,Belgium04,0.145506,0.024835,0.023978,0.724498,0.081183
Belgium,Belgium05,0.183957,0.00001,0.009362,0.806661,0.00001
Belgium,Belgium06,0.227912,0.00001,0.00001,0.69552,0.076547
Belgium,Belgium07,0.248507,0.00001,0.070837,0.406486,0.27416
Belgium,Belgium08,0.388047,0.00001,0.00001,0.611922,0.00001
Brazil,Brazil01,0.37768,0.00001,0.00001,0.011586,0.610714
